county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,2.8,7.4,61.90,Low,2022-11-17,1668672000
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,3.7,5.1,81.43,Low,2022-11-17,1668672000
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,3.0,77.54,Low,2022-11-17,1668672000
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.5,8.2,0.00,Low,2022-12-01,1669881600
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,9.0,18.2,63.87,Medium,2022-12-01,1669881600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.4,9.6,18.56,Low,2022-12-01,1669881600
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,9.0,18.2,70.44,Medium,2022-12-01,1669881600
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.4,7.3,259.36,Medium,2022-12-01,1669881600
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,5.6,11.9,165.30,Medium,2022-12-01,1669881600
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,8.5,13.9,90.89,Medium,2022-12-01,1669881600
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.1,11.2,86.16,Medium,2022-12-01,1669881600
Orange County,06059,California,3175692,825,"Orange, CA",3175692,4.7,12.4,70.57,Medium,2022-12-01,1669881600
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,4.9,8.6,102.47,Low,2022-12-01,1669881600
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.4,9.6,70.12,Low,2022-12-01,1669881600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.3,10.7,48.98,Medium,2022-12-01,1669881600
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,5.8,9.2,45.28,Low,2022-12-01,1669881600
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,8.9,95.27,Low,2022-12-01,1669881600
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,8.5,13.9,119.65,Medium,2022-12-01,1669881600
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.2,2.0,58.88,Low,2022-12-01,1669881600
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,6.4,12.7,36.89,Medium,2022-12-01,1669881600
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,8.6,10.7,116.28,Medium,2022-12-01,1669881600
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.2,2.0,5.32,Low,2022-12-01,1669881600
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,4.9,8.6,88.64,Low,2022-12-01,1669881600
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,10.2,125.78,Medium,2022-12-01,1669881600
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.6,5.8,49.45,Low,2022-12-01,1669881600
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.6,5.8,76.60,Low,2022-12-01,1669881600
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,10.2,101.88,Medium,2022-12-01,1669881600
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,6.6,12.5,48.23,Medium,2022-12-01,1669881600
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.3,11.2,66.83,Medium,2022-12-01,1669881600
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.3,11.2,104.63,Medium,2022-12-01,1669881600
Ventura County,06111,California,846006,790,"Ventura, CA",846006,4.9,9.0,78.13,Low,2022-12-01,1669881600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,8.9,85.08,Low,2022-12-01,1669881600
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.3,10.7,77.78,Medium,2022-12-01,1669881600
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,8.5,13.9,107.60,Medium,2022-12-01,1669881600
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,3.4,8.1,61.23,Low,2022-12-01,1669881600
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,1.9,6.2,182.94,Low,2022-12-01,1669881600
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,5.7,9.1,57.47,Low,2022-12-01,1669881600
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.3,11.2,93.01,Medium,2022-12-01,1669881600
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.3,11.2,104.80,Medium,2022-12-01,1669881600
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,1.9,6.2,27.69,Low,2022-12-01,1669881600
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.3,10.7,75.31,Medium,2022-12-01,1669881600
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.3,10.7,85.63,Medium,2022-12-01,1669881600
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,5.8,9.2,96.04,Low,2022-12-01,1669881600
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,7.6,92.23,Low,2022-12-01,1669881600
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,8.5,5.1,83.45,Low,2022-12-01,1669881600
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,5.7,9.1,110.36,Low,2022-12-01,1669881600
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,7.0,24.42,Low,2022-12-01,1669881600
Tulare County,06107,California,466195,789,"Tulare, CA",466195,7.2,9.4,125.70,Low,2022-12-01,1669881600
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,5.8,9.2,54.46,Low,2022-12-01,1669881600
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,5.9,5.2,61.12,Low,2022-12-01,1669881600
Kern County,06029,California,900202,807,"Kern, CA",900202,7.2,7.3,62.10,Low,2022-12-01,1669881600
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,7.0,0.00,Low,2022-12-01,1669881600
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,10.2,58.06,Medium,2022-12-01,1669881600
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,5.7,9.1,88.57,Low,2022-12-01,1669881600
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.4,7.3,19.11,Low,2022-12-01,1669881600
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,7.6,100.39,Low,2022-12-01,1669881600
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,7.0,37.21,Low,2022-12-01,1669881600
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,8.6,10.7,0.00,Medium,2022-12-01,1669881600
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.1,11.2,68.98,Medium,2022-12-01,1669881600
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,9.0,18.2,78.36,Medium,2022-12-01,1669881600
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.4,9.6,101.69,Low,2022-12-01,1669881600
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.6,6.1,0.00,Low,2022-12-08,1670486400
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,10.4,19.8,125.01,Medium,2022-12-08,1670486400
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.7,10.6,116.03,Medium,2022-12-08,1670486400
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,10.4,19.8,123.27,Medium,2022-12-08,1670486400
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.0,11.5,604.25,High,2022-12-08,1670486400
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,6.9,14.8,271.61,High,2022-12-08,1670486400
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.4,13.1,161.45,Medium,2022-12-08,1670486400
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.7,9.3,132.52,Low,2022-12-08,1670486400
Orange County,06059,California,3175692,825,"Orange, CA",3175692,6.3,15.3,160.44,Medium,2022-12-08,1670486400
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,5.9,10.4,226.09,High,2022-12-08,1670486400
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.7,10.6,110.34,Medium,2022-12-08,1670486400
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.2,14.2,110.66,Medium,2022-12-08,1670486400
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,5.1,10.6,194.28,Medium,2022-12-08,1670486400
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.2,14.2,131.19,Medium,2022-12-08,1670486400
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.4,13.1,182.36,Medium,2022-12-08,1670486400
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,7.0,9.6,111.39,Low,2022-12-08,1670486400
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.6,6.2,221.74,Medium,2022-12-08,1670486400
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,5.9,10.8,104.06,Medium,2022-12-08,1670486400
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,7.6,13.4,93.01,Medium,2022-12-08,1670486400
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,7.6,13.4,172.14,Medium,2022-12-08,1670486400
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.6,6.2,20.77,Low,2022-12-08,1670486400
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.2,14.2,134.06,Medium,2022-12-08,1670486400
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.2,14.2,168.03,Medium,2022-12-08,1670486400
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.7,12.3,198.65,Medium,2022-12-08,1670486400
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,5.1,8.8,196.85,Low,2022-12-08,1670486400
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,10.2,5.5,226.56,High,2022-12-08,1670486400
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,5.9,10.8,163.30,Medium,2022-12-08,1670486400
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,5.9,6.5,24.42,Low,2022-12-08,1670486400
Tulare County,06107,California,466195,789,"Tulare, CA",466195,7.8,7.7,202.70,Medium,2022-12-08,1670486400
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.7,12.3,111.10,Medium,2022-12-08,1670486400
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,5.7,10.4,158.21,Medium,2022-12-08,1670486400
Kern County,06029,California,900202,807,"Kern, CA",900202,7.0,9.0,125.19,Low,2022-12-08,1670486400
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,5.9,6.5,169.66,Low,2022-12-08,1670486400
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.5,12.4,86.39,Medium,2022-12-08,1670486400
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,5.9,10.8,134.31,Medium,2022-12-08,1670486400
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.0,11.5,197.64,Medium,2022-12-08,1670486400
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,5.1,8.8,187.96,Low,2022-12-08,1670486400
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,5.9,6.5,81.63,Low,2022-12-08,1670486400
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,8.9,10.7,0.00,Medium,2022-12-08,1670486400
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.7,9.3,120.36,Low,2022-12-08,1670486400
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,10.4,19.8,169.01,Medium,2022-12-08,1670486400
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.7,10.6,119.49,Medium,2022-12-08,1670486400
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.7,12.3,115.72,Medium,2022-12-08,1670486400
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,5.1,10.6,195.05,Medium,2022-12-08,1670486400
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.4,13.1,227.54,High,2022-12-08,1670486400
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.5,2.0,58.88,Low,2022-12-08,1670486400
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,10.8,8.1,63.40,Medium,2022-12-08,1670486400
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,8.9,10.7,173.42,Medium,2022-12-08,1670486400
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.5,2.0,127.61,Low,2022-12-08,1670486400
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,5.9,10.4,180.04,Medium,2022-12-08,1670486400
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.5,12.4,442.62,High,2022-12-08,1670486400
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.6,7.5,93.96,Low,2022-12-08,1670486400
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.6,7.5,143.34,Low,2022-12-08,1670486400
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.5,12.4,233.26,High,2022-12-08,1670486400
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,7.1,12.8,82.68,Medium,2022-12-08,1670486400
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,7.6,13.4,131.30,Medium,2022-12-08,1670486400
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,7.6,13.4,200.08,High,2022-12-08,1670486400
Ventura County,06111,California,846006,790,"Ventura, CA",846006,6.2,11.8,161.94,Medium,2022-12-08,1670486400
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.9,5.9,0.00,Low,2022-12-15,1671091200
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,11.2,13.4,103.11,Medium,2022-12-15,1671091200
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.7,8.1,78.90,Low,2022-12-15,1671091200
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,11.2,13.4,119.75,Medium,2022-12-15,1671091200
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.9,12.9,445.88,High,2022-12-15,1671091200
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,7.2,14.2,223.28,High,2022-12-15,1671091200
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,14.8,144.92,Medium,2022-12-15,1671091200
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.0,14.5,149.52,Medium,2022-12-15,1671091200
Orange County,06059,California,3175692,825,"Orange, CA",3175692,6.7,12.2,113.08,Medium,2022-12-15,1671091200
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.9,10.3,169.95,Medium,2022-12-15,1671091200
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.7,8.1,117.56,Low,2022-12-15,1671091200
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.1,11.6,119.27,Medium,2022-12-15,1671091200
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.7,10.5,100.62,Medium,2022-12-15,1671091200
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,5.9,11.6,160.46,Medium,2022-12-15,1671091200
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,14.8,190.92,Medium,2022-12-15,1671091200
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.9,4.1,49.06,Low,2022-12-15,1671091200
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,7.3,4.6,53.03,Low,2022-12-15,1671091200
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,7.4,2.9,141.35,Low,2022-12-15,1671091200
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.9,4.1,37.22,Low,2022-12-15,1671091200
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.9,10.3,145.43,Medium,2022-12-15,1671091200
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,9.4,305.69,Medium,2022-12-15,1671091200
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.7,7.4,86.19,Low,2022-12-15,1671091200
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.7,7.4,112.88,Low,2022-12-15,1671091200
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,9.4,384.05,Medium,2022-12-15,1671091200
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,6.2,13.4,0.00,Medium,2022-12-15,1671091200
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,13.0,124.40,Medium,2022-12-15,1671091200
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,13.0,196.41,Medium,2022-12-15,1671091200
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.3,11.8,111.11,Medium,2022-12-15,1671091200
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,5.9,11.6,168.19,Medium,2022-12-15,1671091200
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.1,11.6,81.41,Medium,2022-12-15,1671091200
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,14.8,147.13,Medium,2022-12-15,1671091200
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,7.3,9.6,83.36,Low,2022-12-15,1671091200
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,1.2,3.1,260.55,Medium,2022-12-15,1671091200
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,7.0,10.3,94.74,Medium,2022-12-15,1671091200
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,13.0,69.76,Medium,2022-12-15,1671091200
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.6,13.0,117.40,Medium,2022-12-15,1671091200
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,1.2,3.1,90.00,Low,2022-12-15,1671091200
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.1,11.6,95.65,Medium,2022-12-15,1671091200
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.1,11.6,134.40,Medium,2022-12-15,1671091200
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.7,10.5,192.61,Medium,2022-12-15,1671091200
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.2,11.6,153.02,Medium,2022-12-15,1671091200
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,9.0,5.5,183.74,Low,2022-12-15,1671091200
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,7.0,10.3,146.32,Medium,2022-12-15,1671091200
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,6.9,7.5,24.42,Low,2022-12-15,1671091200
Tulare County,06107,California,466195,789,"Tulare, CA",466195,6.3,7.3,134.06,Low,2022-12-15,1671091200
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.7,10.5,67.53,Medium,2022-12-15,1671091200
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,5.0,11.3,82.70,Medium,2022-12-15,1671091200
Kern County,06029,California,900202,807,"Kern, CA",900202,6.3,7.3,172.96,Low,2022-12-15,1671091200
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,6.9,7.5,135.73,Low,2022-12-15,1671091200
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,9.4,64.97,Low,2022-12-15,1671091200
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,7.0,10.3,121.97,Medium,2022-12-15,1671091200
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.9,12.9,169.58,Medium,2022-12-15,1671091200
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.2,11.6,166.87,Medium,2022-12-15,1671091200
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,6.9,7.5,77.74,Low,2022-12-15,1671091200
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,7.4,2.9,33.28,Low,2022-12-15,1671091200
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.0,14.5,108.83,Medium,2022-12-15,1671091200
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,11.2,13.4,193.60,Medium,2022-12-15,1671091200
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.7,8.1,114.40,Low,2022-12-15,1671091200
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.9,10.7,153.45,Medium,2022-12-22,1671696000
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.1,10.9,226.44,High,2022-12-22,1671696000
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.9,15.0,258.27,High,2022-12-22,1671696000
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.7,4.1,143.92,Low,2022-12-22,1671696000
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,3.7,5.8,270.90,Medium,2022-12-22,1671696000
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,8.0,3.9,186.46,Low,2022-12-22,1671696000
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.7,4.1,154.20,Low,2022-12-22,1671696000
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.4,9.6,257.64,Medium,2022-12-22,1671696000
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,11.0,281.81,High,2022-12-22,1671696000
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.6,7.8,182.26,Low,2022-12-22,1671696000
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.6,7.8,173.12,Low,2022-12-22,1671696000
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,11.0,246.23,High,2022-12-22,1671696000
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,5.6,14.2,227.38,High,2022-12-22,1671696000
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.5,15.4,165.44,Medium,2022-12-22,1671696000
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.5,15.4,319.39,High,2022-12-22,1671696000
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.4,12.9,250.83,High,2022-12-22,1671696000
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,7.9,10.7,191.70,Medium,2022-12-22,1671696000
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,6.4,13.9,147.42,Medium,2022-12-22,1671696000
Kern County,06029,California,900202,807,"Kern, CA",900202,6.7,10.3,318.26,High,2022-12-22,1671696000
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,5.1,3.0,282.77,Medium,2022-12-22,1671696000
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.0,11.0,238.45,High,2022-12-22,1671696000
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,6.6,11.2,161.89,Medium,2022-12-22,1671696000
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,7.2,11.8,164.81,Medium,2022-12-22,1671696000
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.6,11.8,226.42,High,2022-12-22,1671696000
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,5.1,3.0,358.17,Medium,2022-12-22,1671696000
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,8.0,3.9,33.28,Low,2022-12-22,1671696000
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.4,11.9,143.02,Medium,2022-12-22,1671696000
