county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,7.6,12.4,120.50,Medium,2022-08-11,1660201200
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,7.4,6.8,0.00,Low,2022-08-11,1660201200
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,7.6,12.1,182.67,Medium,2022-08-11,1660201200
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,6.7,14.4,112.16,Medium,2022-08-11,1660201200
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.7,7.6,194.49,Low,2022-08-11,1660201200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,5.6,10.8,0.00,Medium,2022-08-04,1659596400
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,7.4,12.2,197.09,Medium,2022-08-04,1659596400
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.0,12.7,125.31,Medium,2022-08-04,1659596400
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,7.4,12.2,105.66,Medium,2022-08-04,1659596400
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,7.8,11.9,625.22,High,2022-08-04,1659596400
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,7.0,10.1,376.38,High,2022-08-04,1659596400
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.1,16.3,335.61,High,2022-08-04,1659596400
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,8.8,10.4,195.11,Medium,2022-08-04,1659596400
Orange County,06059,California,3175692,825,"Orange, CA",3175692,6.3,13.5,250.43,High,2022-08-04,1659596400
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.7,8.4,294.90,Medium,2022-08-04,1659596400
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.0,12.7,222.75,High,2022-08-04,1659596400
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.8,14.1,154.20,Medium,2022-08-04,1659596400
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,7.3,13.0,282.83,High,2022-08-04,1659596400
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.8,14.1,148.83,Medium,2022-08-04,1659596400
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.1,16.3,336.20,High,2022-08-04,1659596400
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,6.7,14.0,200.65,High,2022-08-04,1659596400
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,2.5,12.3,166.31,Medium,2022-08-04,1659596400
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,14.8,242.29,High,2022-08-04,1659596400
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.4,19.1,127.88,Medium,2022-08-04,1659596400
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.4,19.1,263.61,High,2022-08-04,1659596400
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,2.5,12.3,83.08,Medium,2022-08-04,1659596400
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.8,14.1,180.50,Medium,2022-08-04,1659596400
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.8,14.1,188.52,Medium,2022-08-04,1659596400
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,9.4,12.1,242.34,High,2022-08-04,1659596400
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,7.2,11.2,246.68,High,2022-08-04,1659596400
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,7.6,9.5,289.52,Medium,2022-08-04,1659596400
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,14.8,221.83,High,2022-08-04,1659596400
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,9.3,11.4,40.70,Medium,2022-08-04,1659596400
